College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Unique_Number
CLG0002,93,5.91,5.41,6,Yes,5,9,1,No,1636
CLG0028,85,7.38,7.41,2,Yes,3,5,2,No,1637
CLG0034,106,8.27,7.98,8,Yes,9,1,0,No,1638
CLG0021,130,5.73,5.32,5,Yes,9,10,1,No,1639
CLG0083,83,5.93,5.96,6,Yes,0,4,5,No,1640
CLG0078,100,6.02,6.27,8,Yes,10,8,1,No,1641
CLG0081,121,6.19,6.1,6,No,6,7,4,No,1642
CLG0056,98,6.13,6.3,10,No,1,6,0,No,1643
CLG0005,106,6.98,6.97,3,No,0,9,0,No,1644
CLG0085,84,8.27,8.21,7,No,0,4,5,No,1645
CLG0022,106,7.19,6.98,4,Yes,0,10,4,No,1646
CLG0059,97,8.88,8.76,6,Yes,1,1,5,No,1647
CLG0040,114,8.6,8.45,6,Yes,0,10,2,Yes,1648
CLG0084,117,5.63,5.78,5,No,3,6,2,No,1649
CLG0092,138,5.24,4.86,1,No,9,4,3,No,1650
CLG0063,108,9.39,8.98,8,No,9,1,3,No,1651
CLG0032,104,5.4,5.56,10,Yes,10,10,4,No,1652
CLG0045,102,5.74,5.79,2,No,6,3,5,No,1653
CLG0083,94,5.11,5.04,4,Yes,9,1,0,No,1654
CLG0092,105,8.14,7.79,3,No,2,5,1,No,1655
CLG0087,95,7.91,7.82,6,No,8,8,2,No,1656
CLG0033,102,9.93,10.22,1,No,1,2,5,No,1657
CLG0082,119,9.43,9.82,9,No,1,6,0,No,1658
CLG0035,84,7.05,7.25,5,Yes,6,6,5,No,1659
CLG0046,117,6.86,6.42,5,No,8,5,3,No,1660
CLG0036,119,6.48,6.65,4,No,5,7,2,No,1661
CLG0062,98,5.76,5.5,4,Yes,10,1,1,No,1662
CLG0083,68,5.69,5.51,1,No,0,10,5,No,1663
CLG0090,90,5.66,5.36,9,Yes,5,4,3,No,1664
CLG0100,119,5.57,5.85,9,Yes,3,6,1,No,1665
CLG0026,99,6.2,6.35,4,No,4,4,3,No,1666
CLG0007,85,6.53,6.64,10,No,3,6,1,No,1667
CLG0087,92,9.81,9.98,10,Yes,2,2,5,No,1668
CLG0005,112,7.89,7.63,4,Yes,1,9,2,Yes,1669
CLG0087,108,9.94,9.88,7,No,1,4,5,No,1670
CLG0100,96,6.86,6.99,4,No,9,5,4,No,1671
CLG0032,94,7.29,7.43,1,Yes,10,7,1,No,1672
CLG0079,94,6.62,6.91,9,No,3,8,2,No,1673
CLG0091,86,5.91,5.7,2,Yes,2,1,0,No,1674
CLG0081,124,5.72,5.99,5,No,10,7,0,No,1675
CLG0084,95,9.73,9.67,4,Yes,5,10,3,Yes,1676
CLG0057,118,9.93,10.1,8,No,9,9,5,Yes,1677
CLG0080,122,5.22,5.18,6,No,2,2,5,No,1678
CLG0062,114,5.75,6.2,7,No,2,2,4,No,1679
CLG0028,93,7.12,6.8,2,No,3,4,3,No,1680
CLG0095,106,5.93,6.11,4,No,4,1,5,No,1681
CLG0080,99,6.82,6.9,4,Yes,10,9,5,No,1682
CLG0078,86,5.65,5.32,2,No,8,5,1,No,1683
CLG0074,104,7.28,6.85,10,Yes,10,3,4,No,1684
CLG0066,82,6.36,6.66,4,No,4,6,1,No,1685
CLG0097,117,6.76,6.42,9,No,0,7,5,No,1686
CLG0041,93,5.47,5.16,8,Yes,8,4,2,No,1687
CLG0086,103,7.14,7.62,1,No,1,2,4,No,1688
CLG0066,104,9.92,10.14,8,No,3,5,0,No,1689
CLG0064,96,6.64,6.39,9,Yes,9,7,2,No,1690
CLG0007,108,9.38,9.47,8,No,5,10,2,Yes,1691
CLG0041,92,9.22,9.25,10,No,8,10,1,No,1692
CLG0045,113,9.76,10.1,1,Yes,1,3,3,Yes,1693
CLG0044,79,8.95,9.18,8,No,8,2,5,No,1694
CLG0030,101,8.3,8.63,5,Yes,8,2,1,No,1695
CLG0038,129,9.28,8.99,9,No,0,4,2,Yes,1696
CLG0039,84,5.38,5.52,9,No,10,4,4,No,1697
CLG0019,89,7.31,6.85,6,No,5,5,0,No,1698
CLG0047,107,9.95,9.52,3,No,5,3,2,No,1699
CLG0038,102,8.85,9.06,7,Yes,8,1,3,No,1700
CLG0017,105,9.81,9.33,3,Yes,5,4,5,No,1701
CLG0074,107,8.9,8.98,7,No,1,1,3,No,1702
CLG0079,109,9.37,9.71,8,No,7,8,5,Yes,1703
CLG0069,116,8.53,8.41,5,No,0,5,5,Yes,1704
CLG0099,106,8.8,8.34,5,No,4,2,4,No,1705
CLG0004,96,7.62,7.83,4,No,9,5,3,No,1706
CLG0035,110,9.62,10.05,3,No,2,5,4,No,1707
CLG0001,128,9.13,9.35,8,No,10,1,3,Yes,1708
CLG0081,98,9.22,9.3,6,No,5,5,1,No,1709
CLG0085,85,8.37,8.1,6,No,4,8,5,Yes,1710
CLG0058,116,6.52,6.04,2,No,9,10,0,No,1711
CLG0022,98,5.18,5.37,4,No,3,2,5,No,1712
CLG0005,67,9.68,9.41,5,No,2,8,0,No,1713
CLG0060,112,7.93,8.29,10,Yes,0,8,2,Yes,1714
CLG0036,91,6.49,6.46,5,No,7,1,2,No,1715
CLG0009,98,5.75,5.78,3,No,10,4,1,No,1716
CLG0084,104,9.15,9.4,10,No,4,5,5,No,1717
CLG0057,102,9.18,9.46,5,No,7,10,1,No,1718
CLG0078,110,9.07,9.21,5,Yes,8,8,0,No,1719
CLG0084,93,8.23,8.67,2,No,7,3,2,No,1720
CLG0090,107,6.83,7.31,5,No,5,1,2,No,1721
CLG0004,96,6.52,6.97,3,No,9,7,5,No,1722
CLG0051,111,5.04,5.36,3,No,7,4,0,No,1723
CLG0039,109,9.17,9.38,5,No,4,10,4,Yes,1724
CLG0084,85,5.44,5.6,9,No,8,5,1,No,1725
CLG0052,116,8.15,7.75,2,Yes,5,6,2,No,1726
CLG0075,91,7.52,7.29,9,No,1,4,0,No,1727
CLG0071,112,7.63,7.14,3,No,6,1,1,No,1728
CLG0055,105,9.63,9.27,7,Yes,0,8,5,Yes,1729
CLG0031,127,5.16,5.1,1,Yes,9,9,0,No,1730
CLG0050,96,8.87,8.52,1,Yes,0,3,5,No,1731
CLG0008,94,5.26,5.66,8,No,7,10,4,No,1732
CLG0087,99,5.19,5.5,9,Yes,4,4,5,No,1733
CLG0015,95,7.15,6.72,3,No,10,5,3,No,1734
CLG0065,111,5.32,5.07,6,Yes,9,10,2,Yes,1735
CLG0010,75,8.95,9.27,3,No,8,9,5,Yes,1736
CLG0041,84,7.65,7.95,6,No,5,5,5,No,1737
CLG0088,83,5.15,5.6,7,Yes,0,7,1,No,1738
CLG0079,114,5.2,5.7,5,Yes,5,3,0,No,1739
CLG0048,125,8.06,8.54,3,No,0,1,0,No,1740
CLG0021,98,9.03,8.94,8,No,4,6,1,No,1741
CLG0086,97,7.19,6.94,5,No,2,10,2,No,1742
CLG0024,101,7.77,8.03,1,No,9,1,5,No,1743
CLG0074,117,9,8.8,9,No,9,6,2,Yes,1744
CLG0023,86,8.05,8.36,3,No,8,8,5,Yes,1745
CLG0080,103,6.12,6.15,2,Yes,0,9,0,No,1746
CLG0069,114,8.07,8.36,3,No,5,8,2,Yes,1747
CLG0033,107,8.14,7.92,7,No,2,5,5,No,1748
CLG0036,102,8.67,8.68,10,Yes,8,7,3,No,1749
CLG0025,115,8.1,8.16,8,No,1,6,4,Yes,1750
CLG0058,59,9.85,10.29,2,No,10,9,4,Yes,1751
CLG0090,110,5.99,5.76,7,No,6,4,3,No,1752
CLG0066,90,9.76,10.2,5,Yes,8,8,2,Yes,1753
CLG0098,72,7.69,7.99,9,Yes,2,9,5,No,1754
CLG0031,107,8.36,8.59,7,Yes,2,7,0,No,1755
CLG0044,120,5.5,5.79,1,No,2,7,2,No,1756
CLG0063,97,6.9,7.01,1,Yes,0,2,1,No,1757
CLG0045,114,8.85,8.59,6,Yes,8,9,1,Yes,1758
CLG0083,124,8.53,8.22,9,Yes,8,5,2,Yes,1759
CLG0082,119,5.2,5.57,1,No,5,10,3,Yes,1760
CLG0050,124,7.73,7.96,3,No,8,3,1,No,1761
CLG0067,111,5.44,5.15,5,No,8,4,5,No,1762
CLG0071,101,9.98,10.1,4,No,0,10,4,Yes,1763
CLG0087,75,9.49,9.44,1,No,2,2,0,No,1764
CLG0001,96,5.11,4.77,10,No,2,3,3,No,1765
CLG0071,87,9.29,9.32,4,No,0,6,1,No,1766
CLG0086,132,9.6,9.38,4,No,5,1,0,No,1767
CLG0067,97,6.77,6.37,10,No,3,2,5,No,1768
CLG0083,101,8.6,8.57,4,No,7,4,4,No,1769
CLG0094,108,7.21,7.3,3,No,5,1,1,No,1770
CLG0009,100,8.28,7.83,7,Yes,3,6,1,No,1771
CLG0099,125,6.7,6.6,1,No,4,4,0,No,1772
CLG0035,90,6.61,6.37,2,Yes,1,2,0,No,1773
CLG0013,102,7.12,6.65,1,Yes,9,10,2,No,1774
CLG0026,88,5.73,5.36,4,Yes,0,4,1,No,1775
CLG0045,80,9.16,8.8,5,No,6,8,4,Yes,1776
CLG0051,90,6.74,6.42,10,Yes,9,6,0,No,1777
CLG0092,99,7,7.3,5,Yes,2,1,3,No,1778
CLG0025,93,9.47,9.41,2,Yes,2,5,1,No,1779
CLG0056,89,7.48,7.13,3,Yes,5,6,3,No,1780
CLG0039,78,7.72,7.32,4,No,2,4,1,No,1781
CLG0003,98,9.78,9.58,10,No,6,4,0,No,1782
CLG0075,77,9.43,9.73,6,No,6,3,2,No,1783
CLG0094,111,5.85,5.71,6,No,4,10,1,No,1784
CLG0053,101,7.37,7.03,2,No,0,10,5,No,1785
CLG0033,78,9.86,9.76,2,No,8,6,0,No,1786
CLG0062,95,6.86,6.92,9,Yes,1,9,0,No,1787
CLG0098,88,6.86,6.39,2,No,3,7,0,No,1788
CLG0067,104,5.98,6.11,2,No,9,9,3,No,1789
CLG0069,120,5.57,5.47,3,No,9,6,0,No,1790
CLG0095,71,8.7,8.21,9,No,1,2,3,No,1791
CLG0004,101,8.85,9.02,6,No,0,6,4,No,1792
CLG0072,97,9.85,10.06,6,No,0,7,5,No,1793
CLG0059,110,8.87,9,10,Yes,0,2,5,No,1794
CLG0017,103,6.22,6.06,5,No,6,1,5,No,1795
CLG0022,88,5.2,5.23,7,Yes,10,6,2,No,1796
CLG0038,95,9.93,9.82,4,No,8,8,5,Yes,1797
CLG0088,88,6.7,6.9,10,No,0,6,0,No,1798
CLG0031,116,6.56,6.64,10,No,9,8,4,Yes,1799
CLG0049,100,9.53,9.11,3,Yes,5,6,0,No,1800
CLG0052,128,7.93,8.07,7,No,10,6,4,Yes,1801
CLG0089,99,6.07,6.26,10,No,4,8,5,No,1802
CLG0038,89,9.45,9.32,1,Yes,2,3,0,No,1803
CLG0096,77,9.97,10.35,6,Yes,1,3,2,No,1804
CLG0049,72,5.43,5.77,2,Yes,1,6,0,No,1805
CLG0090,76,9.31,8.99,2,No,1,4,3,No,1806
CLG0100,104,6.95,7.35,8,Yes,6,7,0,No,1807
CLG0027,107,7.62,7.56,3,No,3,7,1,No,1808
CLG0023,76,9.57,9.79,9,No,6,9,3,Yes,1809
CLG0084,113,9.87,10.18,4,No,9,2,4,Yes,1810
CLG0027,92,6.31,6.32,6,No,0,2,5,No,1811
CLG0081,102,6.06,5.96,1,No,9,6,5,No,1812
CLG0014,124,5.4,5.82,10,Yes,3,9,0,No,1813
CLG0003,113,7.81,7.54,10,Yes,8,7,5,No,1814
CLG0027,95,5.07,4.83,3,Yes,6,6,5,No,1815
CLG0062,86,7.06,6.92,4,Yes,9,5,5,No,1816
CLG0014,67,5.37,5.73,5,No,5,8,0,No,1817
CLG0092,89,7.03,7.47,1,No,6,2,0,No,1818
CLG0044,96,5.2,4.92,4,No,1,3,1,No,1819
CLG0025,85,9.18,9.54,5,No,0,6,2,No,1820
CLG0061,98,6.05,5.81,4,Yes,9,1,2,No,1821
CLG0075,101,6.64,7.11,10,No,8,8,3,No,1822
CLG0052,96,9.35,9.45,10,No,1,9,3,Yes,1823
CLG0012,90,8.73,8.24,7,No,1,2,1,No,1824
CLG0097,102,6.1,5.63,8,Yes,2,9,5,No,1825
CLG0084,106,5.36,5.01,8,No,2,5,1,No,1826
CLG0034,83,8.58,8.27,3,No,2,8,1,No,1827
CLG0023,121,6.95,7.22,5,No,3,1,4,No,1828
CLG0019,98,8.83,8.55,10,Yes,10,1,5,No,1829
CLG0100,100,7.23,7.7,8,No,0,4,5,No,1830
CLG0001,110,6.73,6.87,7,Yes,10,1,1,No,1831
CLG0074,103,7.26,7.45,9,Yes,0,1,1,No,1832
CLG0065,114,8.74,8.46,10,No,3,5,1,No,1833
CLG0005,104,9.51,9.9,7,No,0,2,1,No,1834
CLG0057,90,5.25,5.42,2,No,3,4,5,No,1835
CLG0022,105,7.62,7.98,4,No,1,8,2,No,1836
CLG0043,82,5.16,5.62,8,No,6,6,0,No,1837
CLG0002,101,7.34,6.97,9,Yes,5,2,0,No,1838
CLG0073,99,9.43,9.03,7,No,1,3,2,No,1839
CLG0007,96,6.81,7.11,5,No,1,2,1,No,1840
CLG0021,98,9.66,10.03,1,Yes,0,4,5,No,1841
CLG0071,71,8.15,8.23,9,No,3,5,4,No,1842
CLG0059,91,9.67,9.54,6,Yes,1,9,4,Yes,1843
CLG0009,101,8.79,8.94,2,No,4,7,3,No,1844
CLG0040,102,5.52,5.33,10,Yes,3,8,0,No,1845
CLG0073,84,6.16,5.9,10,No,0,7,3,No,1846
CLG0049,118,6.97,6.96,2,No,4,10,1,No,1847
CLG0012,87,5.85,5.57,10,Yes,4,8,3,No,1848
CLG0100,114,7.47,7.45,1,No,4,5,1,No,1849
CLG0073,106,7.36,7.82,4,Yes,1,3,3,No,1850
CLG0010,90,9.78,10.12,10,No,3,7,2,No,1851
CLG0074,126,7.17,7.61,2,No,4,1,5,No,1852
CLG0017,82,8.93,9.24,10,Yes,10,3,1,No,1853
CLG0004,113,9.71,9.56,9,No,10,7,4,Yes,1854
CLG0064,115,9.38,9.69,2,No,5,4,1,No,1855
CLG0016,89,6.04,6.46,9,No,6,7,4,No,1856
CLG0049,120,7.48,7.93,1,No,9,10,5,Yes,1857
CLG0100,96,6.74,6.92,7,No,10,10,4,No,1858
CLG0027,104,7,6.71,6,No,2,6,3,No,1859
CLG0006,103,6.8,6.34,6,No,2,4,0,No,1860
CLG0009,97,9.13,8.78,2,No,9,7,0,No,1861
CLG0058,112,7.26,7.73,1,Yes,1,8,0,No,1862
CLG0032,111,7.62,7.58,10,No,8,8,4,Yes,1863
CLG0038,73,9.91,10.26,8,Yes,0,7,0,No,1864
CLG0030,119,5.3,5.27,8,Yes,2,2,1,No,1865
CLG0078,75,7.44,7.6,2,No,2,8,1,No,1866
CLG0045,115,8.87,8.39,4,Yes,7,5,5,Yes,1867
CLG0029,116,5.76,5.51,4,Yes,5,9,1,No,1868
CLG0092,83,8.06,8,2,Yes,2,6,5,No,1869
CLG0022,93,6.2,6.33,9,No,0,4,4,No,1870
CLG0031,83,9.34,9.01,4,Yes,2,9,4,Yes,1871
CLG0081,96,6.64,6.9,4,Yes,3,1,0,No,1872
CLG0017,95,6.65,6.51,4,No,0,4,5,No,1873
CLG0054,111,7.99,8.31,5,No,2,5,3,Yes,1874
CLG0079,119,5.92,5.52,10,No,3,4,4,No,1875
CLG0047,120,6.42,6.6,8,No,6,9,2,Yes,1876
CLG0032,91,7.08,6.87,4,No,3,1,1,No,1877
CLG0028,96,6.77,7.07,3,No,0,3,1,No,1878
CLG0011,74,7.62,7.52,1,Yes,8,9,0,No,1879
CLG0039,87,8,8.17,2,No,5,7,3,No,1880
CLG0017,114,7.83,8.26,4,No,8,5,1,No,1881
CLG0076,124,8.27,7.79,9,Yes,6,6,4,No,1882
CLG0039,81,6.54,6.05,1,No,3,4,3,No,1883
CLG0073,91,5.63,5.9,6,No,0,5,1,No,1884
CLG0025,99,8.8,8.95,6,No,6,8,0,No,1885
CLG0026,104,9.25,9.04,10,No,8,5,0,No,1886
CLG0068,87,6.29,6.28,3,Yes,5,10,0,No,1887
CLG0062,106,7.04,6.58,10,No,0,2,4,No,1888
CLG0019,92,7.49,7.18,9,No,8,8,0,No,1889
CLG0013,99,7.67,7.59,10,No,6,3,2,No,1890
CLG0029,108,8.3,8.63,3,No,0,5,4,No,1891
CLG0054,100,5.21,5.19,1,Yes,3,6,2,No,1892
CLG0073,93,8.61,8.7,2,No,4,1,0,No,1893
CLG0042,98,5.31,5.68,4,Yes,1,3,3,No,1894
CLG0062,98,7.34,7.15,4,No,2,1,4,No,1895
CLG0071,94,9.14,9.34,2,No,1,7,2,No,1896
CLG0071,96,7.26,7.62,10,Yes,3,2,4,No,1897
CLG0021,123,5.75,5.45,6,Yes,6,10,2,Yes,1898
CLG0009,108,9.93,9.79,6,Yes,4,7,5,No,1899
CLG0045,95,9.45,9.93,3,No,6,3,4,No,1900
CLG0027,110,8.86,9.34,1,Yes,0,3,1,No,1901
CLG0048,94,7.06,6.78,10,No,2,1,2,No,1902
CLG0085,117,5.92,5.49,9,No,1,7,2,No,1903
CLG0069,105,9.71,9.48,4,No,0,8,4,Yes,1904
CLG0005,98,7.66,7.56,9,Yes,4,4,3,No,1905
CLG0072,106,9.26,9.2,5,No,2,9,1,No,1906
CLG0015,76,6.71,6.83,7,No,7,4,2,No,1907
CLG0077,83,6.68,7.08,3,Yes,4,10,0,No,1908
CLG0097,82,9.93,9.76,3,No,4,5,0,No,1909
CLG0044,102,7.61,7.96,8,No,6,6,5,No,1910
CLG0047,125,5.7,5.29,1,No,7,9,4,Yes,1911
CLG0032,133,6.1,5.64,8,No,0,9,3,Yes,1912
CLG0036,109,7.41,7.41,8,No,4,8,1,No,1913
CLG0049,107,5.21,4.77,3,Yes,8,10,2,No,1914
CLG0053,72,7.31,7.2,1,No,10,2,0,No,1915
CLG0023,91,7.09,7.49,9,Yes,8,10,2,No,1916
CLG0034,88,8.9,8.64,4,Yes,6,10,0,No,1917
CLG0018,90,6.77,6.98,7,Yes,3,1,4,No,1918
CLG0012,97,9.91,9.71,9,No,1,2,4,No,1919
CLG0087,92,5.9,5.44,3,Yes,4,6,2,No,1920
CLG0002,70,7.95,8.01,5,Yes,3,7,4,No,1921
CLG0027,111,5.45,5.78,10,Yes,0,6,1,No,1922
CLG0050,83,8.67,8.58,3,No,6,1,5,No,1923
CLG0031,103,9.97,10.09,5,No,2,1,4,No,1924
CLG0048,131,9.1,9.5,2,No,5,1,1,No,1925
CLG0086,86,7.78,8.07,4,No,4,1,4,No,1926
CLG0069,62,7.42,7.11,2,Yes,3,10,2,No,1927
CLG0017,95,9.18,9.41,3,Yes,2,10,1,No,1928
CLG0043,116,9.68,9.68,5,Yes,8,1,5,Yes,1929
CLG0071,129,9.95,10.2,9,Yes,4,2,5,Yes,1930
CLG0018,81,6.98,6.97,3,No,9,2,5,No,1931
CLG0066,107,9.95,9.58,10,No,6,4,3,No,1932
CLG0031,93,5.78,5.85,6,Yes,3,3,5,No,1933
CLG0063,98,6.27,6.26,4,Yes,0,4,2,No,1934
CLG0028,139,5.45,5.47,4,Yes,1,5,1,No,1935
CLG0067,77,6.36,6.74,10,No,9,4,0,No,1936
CLG0009,103,8.84,9.23,10,Yes,4,3,5,No,1937
CLG0097,107,9.26,9.21,5,No,7,3,0,No,1938
CLG0028,116,8.89,8.85,7,Yes,7,4,3,Yes,1939
CLG0092,101,8.16,8.18,4,No,7,6,0,No,1940
CLG0018,104,7.57,7.59,8,No,8,7,2,No,1941
CLG0015,94,8.54,8.99,9,Yes,1,4,5,No,1942
CLG0075,104,6.95,7.1,9,No,3,8,1,No,1943
CLG0089,94,9.21,8.99,9,No,10,6,5,No,1944
CLG0005,109,8.39,8.42,2,No,9,5,2,No,1945
CLG0041,94,8.49,8.62,3,No,5,8,4,Yes,1946
CLG0091,105,7.68,7.82,5,No,5,6,4,No,1947
CLG0076,99,9.43,9.52,1,No,4,1,0,No,1948
CLG0074,116,6.26,5.94,4,No,1,1,3,No,1949
CLG0073,99,6.91,6.44,5,No,7,10,3,No,1950
CLG0066,73,8.89,8.73,9,Yes,0,10,5,Yes,1951
CLG0073,118,7.46,7.39,8,No,0,6,4,No,1952
CLG0051,86,9.45,9.01,1,No,0,8,3,Yes,1953
CLG0016,90,6.73,7.04,3,No,8,9,3,No,1954
CLG0065,91,6.85,6.69,3,Yes,4,4,0,No,1955
CLG0085,120,9.44,9.85,6,Yes,1,7,5,Yes,1956
CLG0057,67,7.32,6.97,4,No,10,9,2,No,1957
CLG0037,147,7.58,7.14,4,No,0,8,2,Yes,1958
CLG0039,115,6.66,6.64,1,Yes,3,8,1,No,1959
CLG0065,103,6.38,6.07,10,Yes,10,1,2,No,1960
CLG0049,99,8.28,8.72,4,No,1,10,2,Yes,1961
CLG0047,104,5.6,5.11,1,Yes,2,6,0,No,1962
CLG0040,107,9.4,9.31,5,No,1,9,5,Yes,1963
CLG0014,109,8.9,9.33,3,Yes,7,8,0,No,1964
CLG0040,108,5.95,5.83,10,Yes,2,2,5,No,1965
CLG0048,101,8.47,8.06,5,Yes,1,5,2,No,1966
CLG0032,97,8.01,7.81,3,Yes,5,4,1,No,1967
CLG0088,97,5.92,5.92,5,No,6,8,2,No,1968
CLG0039,97,6.37,6.06,4,Yes,8,9,5,No,1969
CLG0033,117,7.04,7.01,9,Yes,10,3,2,No,1970
CLG0030,108,8.5,8.84,6,No,9,9,4,Yes,1971
CLG0026,55,8.19,8.56,10,Yes,3,1,5,No,1972
CLG0043,109,7.66,7.21,2,Yes,4,7,1,No,1973
CLG0055,102,8.84,8.5,1,Yes,10,8,5,Yes,1974
CLG0044,99,8.79,8.57,1,No,5,6,2,No,1975
CLG0078,94,8.09,8.18,1,No,2,4,0,No,1976
CLG0076,116,8.93,8.79,9,No,2,4,5,Yes,1977
CLG0003,114,6.67,7.01,5,No,2,7,2,No,1978
CLG0007,88,9.41,9.63,4,No,4,10,3,Yes,1979
CLG0085,106,8.07,7.67,10,No,10,6,4,No,1980
CLG0058,85,9.11,9.23,5,No,5,4,4,No,1981
CLG0091,79,7.73,7.34,9,Yes,8,5,4,No,1982
CLG0010,90,6.09,5.85,3,No,8,10,1,No,1983
CLG0010,112,7.71,7.39,3,No,4,4,5,No,1984
CLG0100,114,6.86,6.53,2,Yes,7,1,4,No,1985
CLG0081,107,8.49,8.61,8,Yes,6,4,2,No,1986
CLG0042,110,7.38,7.44,7,No,3,6,1,No,1987
CLG0034,107,9.18,8.86,2,Yes,0,2,3,No,1988
CLG0082,90,8.39,8.88,4,No,2,7,0,No,1989
CLG0026,106,8.42,8.34,7,Yes,10,9,4,Yes,1990
CLG0060,112,6.09,5.69,1,No,9,10,2,Yes,1991
CLG0002,111,9.92,9.54,1,Yes,4,2,1,No,1992
CLG0073,117,9.21,9.29,8,No,9,7,5,Yes,1993
CLG0045,110,8.95,9.43,6,No,2,2,5,No,1994
CLG0005,105,6.65,6.72,2,No,10,9,2,No,1995
CLG0026,116,7.68,8.13,10,No,3,1,5,Yes,1996
CLG0079,99,5.69,5.63,10,No,8,4,4,No,1997
CLG0025,86,7.69,7.63,1,No,8,2,0,No,1998
CLG0026,97,5.73,5.73,3,Yes,10,1,1,No,1999
CLG0092,88,7.77,7.97,4,Yes,8,2,2,No,2000
CLG0087,89,8.24,8.11,5,Yes,8,10,1,No,2001
CLG0085,97,6.95,7.31,10,Yes,0,6,4,No,2002
CLG0022,88,7.49,7.02,3,No,8,5,5,No,2003
CLG0019,95,9.38,9.32,5,No,10,1,4,No,2004
CLG0010,71,5.54,5.55,7,No,10,3,3,No,2005
CLG0042,103,8.96,9.07,9,No,1,10,3,Yes,2006
CLG0100,100,5.85,5.63,5,No,7,6,4,No,2007
CLG0031,87,5.18,5.11,4,Yes,8,5,1,No,2008
CLG0031,109,5.93,5.91,10,No,7,6,2,No,2009
CLG0099,114,8.83,9.02,9,Yes,8,8,2,Yes,2010
CLG0075,75,7.03,7.3,8,No,4,6,1,No,2011
CLG0081,88,9.36,9.6,5,No,9,5,0,No,2012
CLG0097,88,7.62,7.46,9,No,6,4,1,No,2013
CLG0086,85,5.11,5.61,9,No,10,5,4,No,2014
CLG0090,112,8.58,8.93,1,Yes,2,9,4,Yes,2015
CLG0036,97,5.55,5.31,6,No,3,10,3,No,2016
CLG0066,96,8.95,8.65,5,No,3,6,2,No,2017
CLG0032,69,5.84,5.65,6,Yes,9,5,3,No,2018
CLG0067,109,6.73,6.68,10,Yes,3,8,2,No,2019
CLG0063,81,8.81,9.16,3,Yes,10,5,1,No,2020
CLG0023,100,9.77,10.05,3,No,7,5,0,No,2021
CLG0050,104,6.86,7.21,10,No,1,8,5,No,2022
CLG0065,120,9.15,8.92,5,Yes,1,9,2,Yes,2023
CLG0069,80,5.95,6.04,7,No,4,8,0,No,2024
CLG0044,54,9.04,8.82,4,Yes,5,9,0,No,2025
CLG0058,102,8.29,7.9,6,Yes,3,9,0,No,2026
CLG0057,127,5.96,6.14,5,Yes,6,8,1,No,2027
CLG0037,118,6.51,6.15,2,No,9,7,0,No,2028
CLG0065,103,5.66,5.83,1,No,3,7,0,No,2029
CLG0018,92,6.91,7.06,6,No,7,1,4,No,2030
CLG0005,112,6.02,6.33,5,No,1,7,4,No,2031
CLG0082,85,8.22,7.86,9,Yes,9,10,2,No,2032
CLG0099,107,9.97,10.25,7,Yes,3,6,4,No,2033
CLG0096,107,5.06,5.56,1,Yes,10,1,2,No,2034
CLG0026,115,7.7,8.05,10,Yes,6,10,0,Yes,2035
CLG0033,141,7.87,8.12,6,No,4,10,4,Yes,2036
CLG0042,105,9.57,9.73,7,No,9,8,3,Yes,2037
CLG0088,92,7.53,7.45,3,Yes,10,9,5,No,2038
CLG0027,99,7.72,7.95,9,Yes,1,2,5,No,2039
CLG0054,73,7.36,7.58,2,Yes,2,4,1,No,2040
CLG0083,89,6.34,6.47,1,No,3,7,4,No,2041
CLG0082,93,5.28,5.58,10,No,4,1,1,No,2042
CLG0079,92,7.04,6.99,10,No,6,8,5,No,2043
CLG0091,102,5.26,4.88,9,No,2,9,4,No,2044
CLG0075,87,7.75,7.81,7,Yes,8,8,5,No,2045
CLG0024,116,6.54,6.31,10,No,9,2,4,No,2046
CLG0003,100,7.67,7.55,1,No,2,8,3,No,2047
CLG0039,99,5.67,5.19,4,No,4,8,0,No,2048
CLG0071,95,9.66,9.54,10,Yes,4,2,2,No,2049
CLG0012,102,9.47,9.78,3,No,6,9,4,Yes,2050
CLG0033,112,5.95,5.99,7,No,5,1,4,No,2051
CLG0022,86,6.72,6.23,5,No,10,7,1,No,2052
CLG0035,90,8.07,8.04,9,Yes,2,2,0,No,2053
CLG0014,95,5.48,5.27,3,Yes,0,8,4,No,2054
CLG0026,79,6.77,6.75,6,No,5,8,4,No,2055
CLG0083,87,6.26,6.16,10,No,10,4,2,No,2056
CLG0085,92,9.58,10.01,2,No,5,8,5,Yes,2057
CLG0054,113,9.26,8.8,3,No,3,5,0,No,2058
CLG0041,103,7.9,8.08,4,Yes,1,9,0,No,2059
CLG0045,102,7.6,7.95,6,No,8,1,5,No,2060
CLG0031,112,9.65,10.11,1,Yes,5,5,4,Yes,2061
CLG0069,97,9.66,9.34,6,No,0,9,0,No,2062
CLG0099,105,9.85,9.88,4,Yes,7,6,0,No,2063
CLG0017,98,5.63,5.17,8,No,9,4,2,No,2064
CLG0060,103,5.8,5.8,9,Yes,6,1,3,No,2065
CLG0096,91,8.38,8.01,8,No,10,10,5,Yes,2066
CLG0004,63,7.71,8.05,8,Yes,10,6,5,No,2067
CLG0010,97,5.09,4.7,2,No,5,7,2,No,2068
